Fecha,Periodo,Monto
19/02/2003,787,10.84
20/02/2003,788,10.8998
21/02/2003,789,10.9798
24/02/2003,790,10.9815
25/02/2003,791,11.0584
26/02/2003,792,11.0329
27/02/2003,793,11.0333
28/02/2003,794,11.0324
03/03/2003,795,10.9902
04/03/2003,796,11.1367
05/03/2003,797,11.1927
06/03/2003,798,11.225
07/03/2003,799,11.1064
10/03/2003,800,11.0998
11/03/2003,801,11.0052
12/03/2003,802,10.9073
13/03/2003,803,10.8173
14/03/2003,804,10.8481
17/03/2003,805,10.8713
18/03/2003,806,10.8147
19/03/2003,807,10.8633
20/03/2003,808,10.8734
24/03/2003,809,10.8008
25/03/2003,810,10.72
26/03/2003,811,10.7498
27/03/2003,812,10.7671
28/03/2003,813,10.6698
31/03/2003,814,10.7889
01/04/2003,815,10.7362
02/04/2003,816,10.6676
03/04/2003,817,10.6619
04/04/2003,818,10.6823
07/04/2003,819,10.6896
08/04/2003,820,10.7398
09/04/2003,821,10.7541
10/04/2003,822,10.7651
11/04/2003,823,10.702
14/04/2003,824,10.6102
15/04/2003,825,10.6398
16/04/2003,826,10.6225
21/04/2003,827,10.5545
22/04/2003,828,10.5525
23/04/2003,829,10.5147
24/04/2003,830,10.4348
25/04/2003,831,10.4318
28/04/2003,832,10.4304
29/04/2003,833,10.345
30/04/2003,834,10.3
02/05/2003,835,10.2003
05/05/2003,836,10.1817
06/05/2003,837,10.2678
07/05/2003,838,10.2115
08/05/2003,839,10.17
09/05/2003,840,10.1068
12/05/2003,841,10.1773
13/05/2003,842,10.1605
14/05/2003,843,10.1428
15/05/2003,844,10.2927
16/05/2003,845,10.376
19/05/2003,846,10.3498
20/05/2003,847,10.2663
21/05/2003,848,10.253
22/05/2003,849,10.2383
23/05/2003,850,10.2473
26/05/2003,851,10.2519
27/05/2003,852,10.3166
28/05/2003,853,10.4063
29/05/2003,854,10.3205
30/05/2003,855,10.3377
02/06/2003,856,10.2402
03/06/2003,857,10.2598
04/06/2003,858,10.3882
05/06/2003,859,10.5598
06/06/2003,860,10.5608
09/06/2003,861,10.7431
10/06/2003,862,10.7145
11/06/2003,863,10.6119
12/06/2003,864,10.5775
13/06/2003,865,10.5946
16/06/2003,866,10.4983
17/06/2003,867,10.5014
18/06/2003,868,10.5883
19/06/2003,869,10.4858
20/06/2003,870,10.4669
23/06/2003,871,10.4796
24/06/2003,872,10.5188
25/06/2003,873,10.4734
26/06/2003,874,10.4808
27/06/2003,875,10.4176
30/06/2003,876,10.437
01/07/2003,877,10.4495
02/07/2003,878,10.4779
03/07/2003,879,10.447
04/07/2003,880,10.4087
07/07/2003,881,10.3946
08/07/2003,882,10.543
09/07/2003,883,10.4795
10/07/2003,884,10.4482
11/07/2003,885,10.4213
14/07/2003,886,10.3821
15/07/2003,887,10.4308
